cep,latitude,longitude,state,city,neighborhood,street
38400106,-18.917797,-48.280335,MG,Uberlandia,CENTRO,AVENIDA CIPRIANO DEL FAVERO
38400107,-18.912718,-48.272706,MG,Uberlandia,CENTRO,RUA CRUZEIRO DOS PEIXOTOS
38400108,-18.917738,-48.275363,MG,Uberlandia,CENTRO,RUA QUINTINO BOCAIUVA
38400109,-18.912842,-48.274311,MG,Uberlandia,CENTRO,RUA MARTINESIA
38400110,-18.913842,-48.251823,MG,Uberlandia,SANTA ROSA,AVENIDA ANALIA RESENDE SIQUIEROLI
38400111,-18.914657,-48.272005,MG,Uberlandia,CENTRO,TRAVESSA JOVIANO RODRIGUES
38400112,-18.919083,-48.277324,MG,Uberlandia,CENTRO,RUA MACHADO DE ASSIS
38400113,-18.914876,-48.272272,MG,Uberlandia,CENTRO,TRAVESSA PROFESSOR MACEDO
38400114,-18.915698,-48.279548,MG,Uberlandia,CENTRO,TRAVESSA MORAIS
38400115,-18.914697,-48.27316,MG,Uberlandia,CENTRO,RUA ABDALLA HADDAD
38400116,-18.919348,-48.272015,MG,Uberlandia,CENTRO,TRAVESSA CASCALHO RICO
38400117,-18.915476,-48.273392,MG,Uberlandia,CENTRO,RUA CAIAPONIA
38400118,-18.918646,-48.272744,MG,Uberlandia,CENTRO,RUA AGENOR PAES
38400119,-18.914288,-48.273674,MG,Uberlandia,CENTRO,RUA GARDENIA
38400120,-18.919626,-48.275631,MG,Uberlandia,CENTRO,TRAVESSA RICARDO SILVA
38400121,-18.916585,-48.27475,MG,Uberlandia,CENTRO,PRACA PROFESSOR JACY DE ASSIS
38400124,-18.915984,-48.27766,MG,Uberlandia,FUNDINHO,AVENIDA JOAO PINHEIRO
38400125,-18.914088,-48.273934,MG,Uberlandia,CENTRO,RUA PADRE MARIO FORESTAN
38400126,-18.915593,-48.277504,MG,Uberlandia,CENTRO,AVENIDA JOAO PINHEIRO
38400128,-18.920751,-48.279555,MG,Uberlandia,CENTRO,AVENIDA AFONSO PENA
38400130,-18.916713,-48.276611,MG,Uberlandia,CENTRO,AVENIDA AFONSO PENA
38400132,-18.924331,-48.277329,MG,Uberlandia,TABAJARAS,RUA PADRE ANCHIETA
38400134,-18.927984,-48.277365,MG,Uberlandia,LIDICE,RUA JAMIL TANNUS
38400136,-18.929153,-48.278124,MG,Uberlandia,LIDICE,RUA ALEXANDRINO DOS SANTOS
38400138,-18.924932,-48.275919,MG,Uberlandia,LIDICE,RUA PROFESSOR MARIO PORTO
38400139,-18.927708,-48.276348,MG,Uberlandia,LIDICE,RUA ANTONIO POVOA
38400140,-18.925224,-48.275776,MG,Uberlandia,LIDICE,PRACA PROFESSOR HENCKMAR BORGES
38400142,-18.920457,-48.27718,MG,Uberlandia,CENTRO,RUA DUQUE DE CAXIAS
38400144,-18.925291,-48.27012,MG,Uberlandia,LIDICE,RUA DUQUE DE CAXIAS
38400146,-18.926057,-48.277368,MG,Uberlandia,LIDICE,RUA JAVARI
38400148,-18.925587,-48.278166,MG,Uberlandia,LIDICE,RUA RODOLFO CORREA
38400150,-18.926319,-48.279035,MG,Uberlandia,LIDICE,RUA TOBIAS INACIO
38400154,-18.92269,-48.281351,MG,Uberlandia,FUNDINHO,RUA BERNARDO GUIMARAES
38400156,-18.924237,-48.282444,MG,Uberlandia,FUNDINHO,PRACA DOUTOR DUARTE
38400158,-18.926952,-48.282325,MG,Uberlandia,TABAJARAS,RUA GENERAL OSORIO
38400160,-18.923844,-48.278388,MG,Uberlandia,LIDICE,RUA BARAO DE CAMARGOS
38400162,-18.927009,-48.280644,MG,Uberlandia,TABAJARAS,RUA AUGUSTO CESAR
38400164,-18.927569,-48.281271,MG,Uberlandia,FUNDINHO,RUA FRANCISCO ALVES
38400165,-18.926832,-48.281863,MG,Uberlandia,FUNDINHO,RUA LUCIA MATOS
38400166,-18.926889,-48.280464,MG,Uberlandia,TABAJARAS,PRACA LADARIO TEIXEIRA
38400168,-18.925776,-48.282276,MG,Uberlandia,FUNDINHO,RUA MERCEDES BRASILEIRO
38400170,-18.924708,-48.280898,MG,Uberlandia,FUNDINHO,AVENIDA NICODEMOS ALVES DOS SANTOS
38400172,-18.922946,-48.277902,MG,Uberlandia,CENTRO,RUA PROFESSOR PEDRO BERNARDO
38400174,-18.923368,-48.279223,MG,Uberlandia,FUNDINHO,PRACA RUI BARBOSA
38400176,-18.923639,-48.280059,MG,Uberlandia,FUNDINHO,RUA SILVIANO BRANDAO
